"x","y"
"4885.784208","1.15E-15"
"4887.63962","1.05E-15"
"4889.495033","9.35E-16"
"4891.350445","1.04E-15"
"4893.205858","8.44E-16"
"4895.06127","7.76E-16"
"4896.916683","9.21E-16"
"4898.772095","8.77E-16"
"4900.627508","9.53E-16"
"4902.48292","1.06E-15"
"4904.338333","8.39E-16"
"4906.193745","8.27E-16"
"4908.049158","9.73E-16"
"4909.90457","8.11E-16"
"4911.759983","1.13E-15"
"4913.615395","1.08E-15"
"4915.470808","1.01E-15"
"4917.32622","1.11E-15"
"4919.181632","1.06E-15"
"4921.037045","1.03E-15"
"4922.892457","1.16E-15"
"4924.74787","6.68E-16"
"4926.603282","8.87E-16"
"4928.458695","7.78E-16"
"4930.314107","1.05E-15"
"4932.16952","1.20E-15"
"4934.024932","7.54E-16"
"4935.880345","1.11E-15"
"4937.735757","8.81E-16"
"4939.59117","9.74E-16"
"4941.446582","1.00E-15"
"4943.301995","1.03E-15"
"4945.157407","1.36E-15"
"4947.01282","1.22E-15"
"4948.868232","9.30E-16"
"4950.723645","1.29E-15"
"4952.579057","1.41E-15"
"4954.43447","2.46E-15"
"4956.289882","1.21E-14"
"4958.145295","3.17E-14"
"4960.000707","4.36E-14"
"4961.85612","3.55E-14"
"4963.711532","1.62E-14"
"4965.566945","3.84E-15"
"4967.422357","1.72E-15"
"4969.27777","1.50E-15"
"4971.133182","1.81E-15"
"4972.988595","1.43E-15"
"4974.844007","9.73E-16"
"4976.69942","1.47E-15"
"4978.554832","1.49E-15"
"4980.410245","1.32E-15"
"4982.265657","1.28E-15"
"4984.12107","1.43E-15"
"4985.976482","1.50E-15"
"4987.831895","1.48E-15"
"4989.687307","1.35E-15"
"4991.54272","1.57E-15"
"4993.398132","1.38E-15"
"4995.253545","1.51E-15"
"4997.108957","1.76E-15"
"4998.96437","1.95E-15"
"5000.819782","2.06E-15"
"5002.675195","7.61E-15"
"5004.530607","4.44E-14"
"5006.38602","1.10E-13"
"5008.241432","1.37E-13"
"5010.096845","1.04E-13"
"5011.952257","3.94E-14"
"5013.80767","7.94E-15"
"5015.663082","3.11E-15"
"5017.518495","1.97E-15"
"5019.373907","1.61E-15"
"5021.22932","1.68E-15"
"5023.084732","1.45E-15"
"5024.940145","1.60E-15"
"5026.795557","1.46E-15"
"5028.65097","1.35E-15"
"5030.506382","1.44E-15"
"5032.361795","1.19E-15"
"5034.217207","1.37E-15"
"5036.07262","1.41E-15"
"5037.928032","1.31E-15"
"5039.783445","1.20E-15"
"5041.638857","1.07E-15"
"5043.49427","9.11E-16"
"5045.349682","1.23E-15"
"5047.205095","1.38E-15"
"5049.060507","1.05E-15"
"5050.91592","1.16E-15"
"5052.771332","1.56E-15"
"5054.626745","1.03E-15"
"5056.482157","9.03E-16"
"5058.33757","1.41E-15"
"5060.192982","8.85E-16"
"5062.048395","1.32E-15"
"5063.903807","1.87E-15"
"5065.75922","1.51E-15"
"5067.614632","1.25E-15"
"5069.470045","1.49E-15"
"5071.325457","1.34E-15"
"5073.18087","1.18E-15"
"5075.036282","1.36E-15"
"5076.891695","1.42E-15"
"5078.747107","1.44E-15"
"5080.60252","1.02E-15"
"5082.457932","1.07E-15"
"5084.313345","1.51E-15"
"5086.168757","1.21E-15"
"5088.02417","9.81E-16"
"5089.879582","1.03E-15"
"5091.734995","8.92E-16"
"5093.590407","9.91E-16"
"5095.44582","1.25E-15"
"5097.301232","1.40E-15"
"5099.156645","1.22E-15"
"5101.012057","1.19E-15"
"5102.86747","9.56E-16"
"5104.722882","1.33E-15"
"5106.578295","7.32E-16"
"5108.433707","1.00E-15"
"5110.28912","7.62E-16"
"5112.144532","7.97E-16"
"5113.999945","1.11E-15"
"5115.855357","1.38E-15"
"5117.71077","1.11E-15"
"5119.566182","1.44E-15"
"5121.421595","1.26E-15"
"5123.277007","1.01E-15"
"5125.13242","9.77E-16"
"5126.987832","1.11E-15"
"5128.843245","1.10E-15"
"5130.698657","1.30E-15"
"5132.55407","1.04E-15"
"5134.409482","1.34E-15"
"5136.264895","1.38E-15"
"5138.120307","1.13E-15"
"5139.97572","1.12E-15"
"5141.831132","1.37E-15"
"5143.686545","1.43E-15"
"5145.541957","1.42E-15"
"5147.39737","1.40E-15"
"5149.252782","1.23E-15"
"5151.108195","1.20E-15"
"5152.963607","1.42E-15"
"5154.81902","1.37E-15"
"5156.674432","1.26E-15"
"5158.529844","1.65E-15"
"5160.385257","1.45E-15"
"5162.240669","1.07E-15"
"5164.096082","1.06E-15"
"5165.951494","1.55E-15"
"5167.806907","1.61E-15"
"5169.662319","1.19E-15"
"5171.517732","1.38E-15"
"5173.373144","1.31E-15"
"5175.228557","1.10E-15"
"5177.083969","1.12E-15"
"5178.939382","1.43E-15"
"5180.794794","1.43E-15"
"5182.650207","1.09E-15"
"5184.505619","1.15E-15"
"5186.361032","1.14E-15"
"5188.216444","1.21E-15"
"5190.071857","1.43E-15"
"5191.927269","1.17E-15"
"5193.782682","1.18E-15"
"5195.638094","1.41E-15"
"5197.493507","1.27E-15"
"5199.348919","1.05E-15"
"5201.204332","1.18E-15"
